q,volume
1,16.41816616875405
2,15.902227445020571
3,13.36605280914543
4,13.761438670016442
5,13.910467948272975
6,13.702238831035112
7,13.324498999337548
8,13.406746514347137
9,13.762445168026696
10,13.698343957272812
11,13.56538499413246
12,13.545993170806575
13,13.634495747005962
14,13.929772736002759
15,14.298569840070984
16,15.015321714634931
17,15.547406959070253
18,15.523253796633714
19,15.512309319648793
20,15.96034287469762
21,15.76236326267441
22,16.143764957159874
23,15.75399506217721
24,15.652501645017281
25,15.45697761688369
26,15.67293088702214
27,15.39969117340377
28,15.547087869973995
29,15.914589639784744
30,15.73412203732462
31,15.538521233058933
